"","feature","g1_tag","g0_tag","g1_avg","g0_avg","g1_pct","g0_pct","log2FC","Pval","FDR","Zscore"
"86","EIF5A_TF","Severe","NonSevere",0.210263740073139,0.106792138618311,1,1,0.103471601454829,2.2250738585072e-308,0,37.5378360955761
"109","FXYD5_TF","Severe","NonSevere",0.18431642934621,0.0830121656410427,0.998457979953739,1,0.101304263705167,2.2250738585072e-308,0,37.5378360955761
"17","ARID4B_TF","Severe","NonSevere",0.375481175211322,0.276829735717825,1,1,0.0986514394934969,3.2896313720841e-240,1.22812904557806e-239,33.0969335132084
"22","BID_TF","Severe","NonSevere",0.792386897803865,0.697343951847593,0.989205859676176,1,0.0950429459562718,1.03987420060524e-05,1.15084891766588e-05,4.40871153719934
"209","PSMA1_TF","Severe","NonSevere",0.211976106778976,0.117161782388926,0.998457979953739,0.999616711383672,0.0948143243900506,2.2250738585072e-308,0,37.5378360955761
"101","FEN1_TF","Severe","NonSevere",0.13432692239678,0.0419335998101809,0.997686969930609,1,0.0923933225865993,2.2250738585072e-308,0,37.5378360955761
"42","CD59_TF","Severe","NonSevere",0.136603029570728,0.0456477470552085,0.997429966589566,1,0.0909552825155192,2.2250738585072e-308,0,37.5378360955761
"274","VAT1_TF","Severe","NonSevere",0.131625098099455,0.0432511357281541,0.987406836288872,0.999233422767344,0.0883739623713012,1.58766274622651e-197,4.99489403307216e-197,29.9839769424775
"244","SRPK2_TF","Severe","NonSevere",0.148450433030233,0.0607472696650121,1,1,0.0877031633652204,2.2250738585072e-308,0,37.5378360955761
"115","GRAP2_TF","Severe","NonSevere",0.203275979296592,0.116405013519398,0.998457979953739,1,0.0868709657771938,1.81355932223111e-259,7.57905388395093e-259,34.4095707265354
"269","TPT1_TF","Severe","NonSevere",0.534395154464979,0.449740935499971,1,1,0.0846542189650084,5.73633733785804e-110,1.20764996586485e-109,22.2803070158341
"98","FCRL3_TF","Severe","NonSevere",0.325701176738248,0.241762320711706,1,1,0.0839388560265419,3.5291788522036e-66,6.09981530010499e-66,17.183506688654
"10","AGRP_TF","Severe","NonSevere",0.120994924822691,0.0414670371789958,1,0.999616711383672,0.0795278876436949,1.45035772476143e-38,2.07193960680204e-38,12.986981244522
"19","ATP6AP2_TF","Severe","NonSevere",0.644383253172767,0.567947489459563,0.998200976612696,1,0.0764357637132044,3.29289330162152e-07,3.74800863599197e-07,5.10586235320221
"246","STX4_TF","Severe","NonSevere",0.14285011237061,0.073087615760694,1,1,0.0697624966099158,2.2250738585072e-308,0,37.5378360955761
"111","GALNT10_TF","Severe","NonSevere",0.150859918582593,0.084574770908169,0.99922898997687,1,0.0662851476744237,2.2250738585072e-308,0,37.5378360955761
"187","NDUFS6_TF","Severe","NonSevere",0.162067502226366,0.10559049318046,0.999485993317913,1,0.0564770090459066,1.18276294132787e-231,4.13967029464754e-231,32.4968129277639
"150","KLRB1_TF","Severe","NonSevere",0.217674022167351,0.16308126191862,1,1,0.0545927602487317,3.53883122074732e-111,7.5066116803731e-111,22.4047362300298
"166","LY96_TF","Severe","NonSevere",0.0956744360753613,0.0430683346010323,0.984579799537394,0.999616711383672,0.052606101474329,2.62882394278132e-155,6.8791654577455e-155,26.5491224359239
"76","DECR1_TF","Severe","NonSevere",0.120594507025716,0.0695086681867899,0.996915959907479,1,0.051085838838926,2.2250738585072e-308,0,37.5378360955761
"58","CLEC5A_TF","Severe","NonSevere",0.0855350376980643,0.0352692476998499,0.995630943202262,1,0.0502657899982145,2.3819176491905e-189,7.02038886077199e-189,29.3501084009334
"24","BLMH_TF","Severe","NonSevere",0.0989301606018917,0.0498121606516884,0.999485993317913,1,0.0491179999502034,2.2250738585072e-308,0,37.5378360955761
