"","feature","g1_tag","g0_tag","g1_avg","g0_avg","g1_pct","g0_pct","log2FC","Pval","FDR","Zscore"
"13319","STK38L","Severe","NonSevere",0.053970701619121,0.0390954388654657,0.0496016448213827,0.0371789957838252,0.0148752627536554,0.00877821713492832,0.055041385846708,2.62057285512635
"15716","ZNF181","Severe","NonSevere",0.0313544076072989,0.0164814105021081,0.0287843741968646,0.01609812188578,0.0148729971051908,0.000181793473807835,0.0022391769755663,3.74305906629424
"3678","DNAJA2","Severe","NonSevere",0.163968131585711,0.149099271751629,0.145720894371627,0.137217324645458,0.0148688598340816,0.146466257018698,0.393403907419183,1.45212713935258
"301","ADH5","Severe","NonSevere",0.0968902595733745,0.0820237638942123,0.0920071960935492,0.0770410118819471,0.0148664956791621,0.0518127775539729,0.201034567593498,1.94468603307949
"6400","ING3","Severe","NonSevere",0.073502955538422,0.0586431582981985,0.0681058853765099,0.0536604062859333,0.0148597972402235,0.0292136882297606,0.134502273035149,2.1805909077898
"16182","ZNHIT6","Severe","NonSevere",0.073502955538422,0.0586431582981985,0.0652788486250321,0.0528938290532771,0.0148597972402235,0.0340773513582926,0.150615769657098,2.11915521916272
"9541","PAF1","Severe","NonSevere",0.115651503469545,0.100804906094289,0.102287329735287,0.0916059793024147,0.0148465973752561,0.0928044243312396,0.295467155244821,1.68078633250934
"6407","INIP","Severe","NonSevere",0.0696479054227705,0.0548102721349176,0.0637368285787715,0.0532771176696052,0.0148376332878529,0.0218518301585132,0.109885417705404,2.29293356314728
"5320","GLT8D1","Severe","NonSevere",0.0665638653302493,0.0517439632042928,0.0627088152145978,0.0494442315063243,0.0148199021259565,0.0178026974096773,0.0937123831869979,2.36969639276434
"6037","HP","Severe","NonSevere",0.0884091493189411,0.0735914143349942,0.0632228218966847,0.0528938290532771,0.0148177349839469,0.126007857032281,0.359257385153152,1.53003584332166
"1508","BZW1","Severe","NonSevere",0.242868157286045,0.228056726715217,0.208686712927268,0.197393637408969,0.0148114305708281,0.254252846530739,0.526136483184196,1.14008030454897
"8188","MRPL42","Severe","NonSevere",0.0634798252377281,0.0486776542736681,0.0609097918272938,0.0467612111920276,0.01480217096406,0.0136020966299949,0.0774794514706444,2.46760330574199
"12022","SDF2","Severe","NonSevere",0.0627088152145978,0.0479110770410119,0.0591107684399897,0.0463779225756995,0.0147977381735859,0.0137083267618725,0.077893236490108,2.46481693926237
"3812","DRAM1","Severe","NonSevere",0.0603957851452069,0.0456113453430433,0.0542277049601645,0.0436949022614028,0.0147844398021636,0.0147542408263987,0.0817196675454644,2.43835587570126
"10585","PRDX2","Severe","NonSevere",0.0377794911333847,0.0229973169796857,0.0362374710871241,0.0218474511307014,0.014782174153699,0.000933889146268338,0.0089023819145744,3.30972128196911
"12053","SEC23A","Severe","NonSevere",0.0799280390645078,0.0651590647757762,0.0750449755846826,0.0628593330778076,0.0147689742887317,0.0321419698651843,0.144821742656509,2.14264058218713
"5986","HNRNPK","Severe","NonSevere",0.634541249036237,0.61977769260253,0.45283988691853,0.438098888463013,0.0147635564337077,0.488292976749212,0.729724625007357,0.693026411667474
"1644","C2CD5","Severe","NonSevere",0.0776150089951169,0.0628593330778076,0.0696479054227705,0.05634342660023,0.0147556759173093,0.0413332719294639,0.173028451908952,2.04017125252812
"8712","NEK1","Severe","NonSevere",0.0542277049601645,0.0394787274817938,0.0480596247751221,0.0356458413185128,0.0147489774783707,0.0139068281308141,0.0788005053667144,2.45966106389127
"14758","TUBB4B","Severe","NonSevere",0.0971472629144179,0.0824070525105404,0.0868671292726805,0.0778075891146033,0.0147402104038774,0.0609754991442403,0.225432988637576,1.8736730754932
"6293","IKBKB","Severe","NonSevere",0.118221536879979,0.103487926408586,0.10331534309946,0.092755845151399,0.0147336104713938,0.106216398976862,0.323450951226859,1.61543558643818
"5829","HECTD4","Severe","NonSevere",0.138524800822411,0.123802223073975,0.119249550244153,0.0988884630126485,0.014722577748436,0.16139754902948,0.402539224296293,1.40038670520915
"12377","SLAMF1","Severe","NonSevere",0.0496016448213827,0.0348792640858566,0.0454895913646877,0.0298965120735914,0.014722380735526,0.0103249417872059,0.0621792668632676,2.56475252215929
"4621","FBL","Severe","NonSevere",0.201747622719095,0.18704484476811,0.17065021845284,0.161364507474128,0.014702777950985,0.218569403246528,0.482927536017889,1.230341090373
"14362","TOR1AIP2","Severe","NonSevere",0.156515034695451,0.141816788041395,0.139038807504498,0.12878497508624,0.0146982466540559,0.144885096452892,0.391535792763072,1.45783838049579
"5289","GLDC","Severe","NonSevere",0.0200462606013878,0.00536604062859333,0.0179902338730403,0.00498275201226524,0.0146802199727945,4.52500966047418e-07,1.07239426026479e-05,5.04543066540118
"14002","TMCC2","Severe","NonSevere",0.0200462606013878,0.00536604062859333,0.013621177075302,0.00536604062859333,0.0146802199727945,0.000225610548935582,0.00269107488667305,3.68846556885066
"4441","FAF2","Severe","NonSevere",0.0855821125674634,0.0709083940206976,0.0786430223592907,0.0659256420084323,0.0146737185467658,0.0453895379908736,0.182282339044809,2.00102646449207
"2487","CHD6","Severe","NonSevere",0.151888974556669,0.137217324645458,0.122590593677718,0.115753162131085,0.0146716499112112,0.180499584387628,0.433530145428134,1.33921839905488
"7581","MAGED2","Severe","NonSevere",0.106656386533025,0.0919892679187428,0.0971472629144179,0.0854733614411652,0.0146671186142821,0.0739792069173306,0.258241763053227,1.78674194150223
"11166","RASGRF2","Severe","NonSevere",0.0395785145206888,0.0249137600613262,0.034952454381907,0.0226140283633576,0.0146647544593626,0.00257826647254084,0.0205476572976083,3.01400136344401
"3523","DESI2","Severe","NonSevere",0.0583397584168594,0.0436949022614028,0.0542277049601645,0.0421617477960905,0.0146448561554566,0.0118325549725466,0.0692964276422516,2.51709907879575
"10821","PSMG3","Severe","NonSevere",0.0575687483937291,0.0429283250287466,0.0544847083012079,0.04024530471445,0.0146404233649825,0.0123198666351874,0.0716726200400438,2.50284735484551
"4125","ELMOD2","Severe","NonSevere",0.034952454381907,0.020314296665389,0.0331534309946029,0.020314296665389,0.0146381577165179,0.000516293280377057,0.00543547672739374,3.47215753072882
"14840","UBAP2","Severe","NonSevere",0.0778720123361604,0.0632426216941357,0.0727319455152917,0.0586431582981985,0.0146293906420247,0.0365105307750921,0.158166817397667,2.09119563152156
"3679","DNAJA3","Severe","NonSevere",0.0544847083012079,0.0398620160981219,0.0531996915959908,0.036412418551169,0.014622692203086,0.00969989291154915,0.0593770971063684,2.58634804659512
"4041","EI24","Severe","NonSevere",0.0763299922898998,0.0617094672288233,0.0719609354921614,0.0590264469145266,0.0146205250610765,0.0298565167865957,0.136712061300678,2.17198867973607
"15279","WDR41","Severe","NonSevere",0.0537136982780776,0.0390954388654657,0.0496016448213827,0.0360291299348409,0.0146182594126119,0.0103586130720514,0.0623282893297564,2.5636225307787
"3203","CWC22","Severe","NonSevere",0.0747879722436392,0.0601763127635109,0.0665638653302493,0.0544269835185895,0.0146116594801282,0.0378440788044376,0.162529305637894,2.07653953243516
"15286","WDR48","Severe","NonSevere",0.096633256232331,0.0820237638942123,0.0886661526599846,0.0735914143349942,0.0146094923381187,0.0676650182826822,0.24200791072947,1.82723117583474
"4799","FIGNL1","Severe","NonSevere",0.0287843741968646,0.0141816788041395,0.0267283474685171,0.0137983901878114,0.014602695392725,9.77622563075378e-05,0.00132366344361682,3.89607963489474
"11075","RACGAP1","Severe","NonSevere",0.0264713441274737,0.0118819471061709,0.0246723207401696,0.0111153698735148,0.0145893970213027,4.51096073175088e-05,0.000672532107824165,4.07961882456539
"10057","PIK3R4","Severe","NonSevere",0.0475456180930352,0.0329628210042162,0.0429195579542534,0.0314296665389038,0.014582797088819,0.00641884753263143,0.0429351342582359,2.72558073915045
"2216","CDC123","Severe","NonSevere",0.113081470059111,0.0985051743963204,0.104343356463634,0.0893062476044462,0.0145762956627903,0.088878626712894,0.287381004691113,1.70134284660455
"5886","HIF1AN","Severe","NonSevere",0.0686198920585968,0.0540436949022614,0.0632228218966847,0.0498275201226524,0.0145761971563354,0.0260235946695987,0.123798309771481,2.22585948820729
"8052","MMP9","Severe","NonSevere",0.0241583140580828,0.00958221540820238,0.0053970701619121,0.00498275201226524,0.0145760986498804,0.110457368124201,0.332375331627115,1.59614076928862
"2040","CCDC93","Severe","NonSevere",0.10999742996659,0.0954388654656957,0.0963762528912876,0.0854733614411652,0.0145585645008939,0.0951965564777191,0.300545214570854,1.66860061725894
"12944","SNX6","Severe","NonSevere",0.196607555898227,0.182062092755845,0.173734258545361,0.1609812188578,0.0145454631423815,0.201814394062786,0.462823366246606,1.27639932690396
"7010","KRIT1","Severe","NonSevere",0.0616808018504241,0.0471444998083557,0.0565407350295554,0.044461479494059,0.0145363020420684,0.0184336134228686,0.0961604371165969,2.35679110008508
"10381","POP5","Severe","NonSevere",0.0616808018504241,0.0471444998083557,0.0583397584168594,0.0448447681103871,0.0145363020420684,0.0158282299267239,0.0857930568821428,2.41285235473434
"1216","B4GALT3","Severe","NonSevere",0.0578257517347725,0.0433116136450747,0.0560267283474685,0.0406285933307781,0.0145141380896978,0.0117579280438848,0.0689588886793448,2.51932737064991
