,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
USP26,3,1,0,5,3,1,1,2
USP27X,43,68,16,102,45,36,19,37
USP27X-AS1,7,9,3,19,9,3,4,7
USP28,454,736,328,1054,702,368,124,183
USP29,4,1,0,2,1,2,2,2
USP3,1034,1635,392,1721,749,574,539,1197
USP3-AS1,13,22,11,24,12,7,6,7
USP30,60,97,43,173,83,52,29,55
USP30-AS1,34,39,11,90,41,34,18,43
USP31,46,122,17,171,74,62,39,66
USP32,596,889,146,726,471,361,467,706
USP33,715,1225,375,1766,658,569,371,609
USP34,1256,2617,871,3931,1516,1316,896,1205
USP35,72,78,28,119,52,37,25,59
USP36,343,729,302,1221,423,560,218,249
USP37,99,218,85,381,159,130,66,57
USP38,414,777,219,1083,521,369,207,366
USP39,414,708,179,1006,456,301,234,382
USP4,874,1436,408,1821,871,680,512,866
USP40,164,295,105,351,208,219,81,122
USP41,30,19,3,8,39,53,31,4
USP42,176,331,99,567,184,175,110,166
USP43,5,6,2,8,10,4,6,15
USP44,14,29,35,101,14,23,7,18
USP45,66,150,86,198,72,78,25,47
USP46,75,158,48,284,90,69,64,95
USP46-AS1,8,10,3,9,7,4,3,5
USP47,723,1527,455,2464,861,865,501,568
USP48,913,1975,572,2608,1366,873,512,766
USP49,91,128,53,188,58,55,36,52
USP5,246,443,113,615,407,282,120,234
USP50,4,2,3,5,0,0,0,2
USP51,11,24,22,69,8,25,4,13
USP53,84,173,125,514,116,183,93,42
USP54,28,51,12,50,48,32,11,25
USP6,82,127,15,114,75,60,67,80
USP6NL,187,308,174,397,257,92,95,266
USP7,1592,3073,1018,4799,1957,1316,958,1550
USP8,730,1578,362,1817,757,562,543,806
USP9X,1094,2523,703,3059,1614,1158,835,1277
USP9Y,387,630,337,1106,321,440,215,196
USPL1,237,435,182,746,245,284,140,178
UST,22,65,36,111,37,35,13,46
UTF1,1,2,0,0,0,0,0,1
UTP11L,141,406,83,529,336,252,136,161
UTP14A,176,458,135,766,351,277,160,177
UTP14C,160,536,116,803,354,273,146,155
UTP15,94,223,70,245,128,94,60,76
UTP18,320,563,199,827,349,308,221,321
UTP20,113,402,152,671,398,231,123,140
UTP23,262,478,214,799,283,309,139,222
UTP3,343,916,146,1146,570,382,257,244
UTP6,242,634,136,621,499,320,173,206
UTRN,4573,4906,1589,6401,2242,2775,1640,2361
UTS2,86,183,29,173,42,5,4,2
UTS2B,2,8,1,11,7,1,2,3
UTY,279,454,158,644,285,290,147,229
UVRAG,472,609,247,831,335,311,270,536
UVSSA,137,246,91,215,140,100,131,311
UXS1,311,603,190,1293,351,344,244,330
UXT,379,1018,375,1790,689,477,331,750
UXT-AS1,4,1,1,5,2,1,1,1
VAC14,117,266,56,277,216,136,101,159
VAC14-AS1,15,11,5,22,6,8,10,13
VAMP1,114,172,89,246,77,94,31,39
VAMP2,267,464,285,945,294,271,110,300
VAMP3,698,1106,190,947,430,368,412,1043
VAMP4,185,336,106,454,206,151,108,168
VAMP5,862,1077,205,1232,513,418,252,1448
VAMP7,303,684,122,614,409,252,172,415
VAMP8,1399,2736,617,3662,1473,1492,1247,2308
VANGL1,87,132,40,391,135,128,57,73
VANGL2,2,7,3,6,4,3,3,6
VAPA,818,1611,472,2065,880,651,499,1080
VAPB,186,423,127,632,294,289,139,192
VARS,309,782,174,883,779,334,213,368
VARS2,71,184,53,261,239,107,42,105
VASH1,142,263,30,164,109,53,15,241
VASH2,14,24,6,22,12,6,6,17
VASN,2,5,2,16,7,1,3,2
VASP,1674,3464,620,3259,1165,1004,1241,3120
VAT1,232,547,128,655,296,117,189,221
VAT1L,0,0,2,4,3,5,4,6
VAV1,889,2031,441,1985,1273,833,616,961
VAV2,86,150,58,133,89,51,17,192
VAV3,515,839,265,734,307,419,162,414
VAV3-AS1,1,1,0,3,0,1,1,1
VAX1,7,3,2,4,2,3,4,9
VBP1,201,597,132,936,401,310,185,239
VCAM1,5,14,1,7,3,3,4,9
VCAN,24194,53913,6133,28573,22381,12972,18667,43241
VCAN-AS1,6,20,1,12,0,3,6,30
VCL,1677,2582,494,3273,1282,1268,764,1768
VCP,1700,4382,1033,5693,4071,1939,1322,1760
VCPIP1,874,1463,405,1738,748,738,484,774
VCPKMT,153,224,70,303,118,93,63,109
VDAC1,374,850,186,1326,797,446,256,451
VDAC2,271,546,145,677,395,256,184,384
VDAC3,405,1054,186,1402,852,503,304,476
VDR,168,436,38,362,263,124,130,213
VEGFA,176,298,49,195,183,74,46,160
VEGFB,110,258,124,520,162,142,74,123
VEGFC,7,3,0,3,0,7,1,3
VENTX,35,69,7,45,11,7,14,168
VENTXP1,0,3,0,2,0,1,0,0
VEPH1,5,22,5,48,17,21,5,25
VEZF1,704,1342,376,2047,638,602,361,512
VEZT,196,485,123,587,295,310,158,190
VGF,1,0,0,1,2,1,2,0
VGLL2,0,1,0,2,3,0,0,2
VGLL3,8,14,4,19,1,6,4,12
VGLL4,123,230,76,323,126,148,61,116
VHL,504,1001,314,1404,471,415,280,758
VHLL,1,2,1,4,2,2,2,3
VIL1,23,20,3,27,12,7,4,20
VILL,62,154,48,182,72,90,40,83
VIM,10922,22305,4720,22958,9166,6542,7282,16374
VIM-AS1,129,201,38,240,86,92,88,161
VIMP,522,1156,307,1517,784,494,285,435
VIPAS39,93,174,45,192,124,88,65,75
VIPR1,24,82,31,86,24,53,33,73
VIPR1-AS1,6,9,2,11,1,1,0,3
VIPR2,2,5,0,4,1,1,1,3
VIT,5,17,0,11,4,5,6,11
VKORC1,154,431,73,493,242,155,84,167
VKORC1L1,115,400,66,538,292,160,83,176
VLDLR,13,31,10,43,12,8,14,13
VMA21,333,800,191,1086,478,355,170,414
VMAC,80,67,33,111,42,40,15,40
VMO1,2,7,0,3,4,2,2,33
VMP1,1070,2205,274,1477,806,603,494,1512
VN1R1,2,6,0,5,0,2,0,0
VN1R2,1,1,1,4,0,2,0,0
VNN1,64,152,38,120,43,28,44,173
VNN2,1293,2362,201,794,373,121,314,570
VNN3,79,119,17,69,23,15,41,63
VOPP1,406,1115,271,1352,1045,387,231,404
VPRBP,185,453,132,644,363,279,134,104
VPREB3,19,57,51,79,6,0,1,26
VPS11,401,645,182,665,477,347,216,373
VPS13A,491,1016,403,1784,533,563,280,263
VPS13B,631,1069,442,1201,674,504,361,537
VPS13C,2728,4994,1542,5846,2322,1974,1337,3338
VPS13D,936,1661,519,1652,920,827,523,723
VPS16,330,540,143,536,315,259,152,234
VPS18,152,271,42,268,158,118,94,152
VPS25,176,529,95,522,359,212,161,330
VPS26A,614,1228,260,1341,440,472,353,562
VPS26B,406,844,208,933,460,316,208,400
VPS28,724,1209,323,1522,775,493,438,890
VPS29,714,1195,274,1481,627,610,374,856
VPS33A,152,361,72,422,166,157,109,158
VPS33B,135,280,66,339,191,154,119,137
VPS35,742,1539,341,2109,987,827,601,902
VPS36,526,1143,300,1604,651,551,259,618
VPS37A,152,369,57,342,161,147,91,159
VPS37B,252,441,165,538,381,224,118,224
VPS37C,29,91,8,83,37,25,49,65
VPS37D,3,3,0,6,1,0,0,1
VPS39,567,959,258,823,601,459,287,431
VPS41,416,851,151,896,436,350,233,488
VPS45,213,389,80,438,256,174,101,256
VPS4A,362,640,209,1033,371,308,227,385
VPS4B,643,1446,306,1892,657,680,456,609
VPS51,108,215,67,443,190,129,110,178
VPS52,83,157,28,150,139,88,64,71
VPS53,702,1194,332,1529,623,513,306,646
VPS54,284,594,138,593,341,238,163,358
VPS72,140,376,110,488,291,231,93,168
VPS8,348,640,179,819,410,199,151,279
VPS9D1,157,222,60,292,86,60,84,324
VPS9D1-AS1,4,5,4,14,3,8,5,7
VRK1,175,479,140,795,410,226,125,152
VRK2,223,351,83,466,271,191,155,304
VRK3,307,633,187,892,339,312,190,286
VRTN,3,3,3,5,4,2,2,2
VSIG1,16,77,46,333,49,35,50,17
VSIG10,65,112,25,55,34,44,18,66
VSIG10L,29,29,4,8,18,15,4,13
VSIG2,5,16,5,26,7,18,4,14
VSIG4,21,44,2,17,15,211,39,6
VSNL1,3,1,2,7,3,1,5,12
VSTM1,378,624,35,75,72,33,103,199
VSTM2A,3,2,2,3,0,3,2,10
VSTM2B,4,1,1,2,1,0,1,1
VSTM2L,1,6,1,0,2,2,3,0
VSTM4,62,51,4,6,8,1,6,14
VSTM5,4,6,0,12,5,6,2,7
VSX1,4,2,2,9,2,3,3,5
VSX2,1,0,0,2,2,0,0,1
VTA1,287,721,142,820,498,367,205,248
VTCN1,3,1,0,1,1,1,0,0
VTI1A,353,579,205,760,277,234,192,330
VTI1B,384,611,153,838,307,264,210,363
VTN,3,3,1,7,0,0,1,4
VTRNA1-1,4,2,3,1,1,2,0,4
VTRNA1-3,0,2,0,4,2,3,0,4
VWA1,1,1,2,3,3,1,1,1
VWA2,5,8,2,7,0,1,2,14
VWA3A,10,5,1,8,2,4,1,4
VWA3B,10,8,1,10,2,3,5,9
VWA5A,86,152,34,127,158,72,55,84
VWA5B1,2,3,0,6,5,0,4,4
VWA5B2,2,1,1,4,4,1,0,8
VWA7,7,5,1,6,4,4,2,3
VWA8,124,384,113,490,293,141,85,84
VWA9,102,258,75,369,199,184,75,80
VWC2,5,8,3,6,1,4,2,5
VWC2L,2,6,2,7,7,3,2,0
VWC2L-IT1,1,0,0,0,0,0,1,2
VWCE,6,3,1,11,5,4,8,8
VWDE,4,9,2,12,9,6,9,9
VWF,17,18,0,32,18,11,7,25
WAC,2119,3727,1093,5475,2211,1650,1208,1896
WAC-AS1,361,592,137,499,178,158,244,583
WAPAL,1022,2229,584,3372,1294,1218,749,1093
WARS,2027,2554,370,2459,2627,1081,1042,6245
WARS2,26,94,25,126,72,50,22,37
WARS2-IT1,0,1,2,1,1,0,1,2
WAS,1376,2284,522,2409,1050,727,717,1349
WASF1,69,136,20,77,56,48,34,94
WASF2,1572,2987,788,3912,1471,1227,1303,2306
WASF3,5,5,1,25,8,2,3,21
WASF3-AS1,4,3,0,3,1,0,3,8
WASH4P,227,360,96,436,142,188,141,263
WASIR1,4,5,1,4,1,0,1,9
WASIR2,3,4,3,6,2,0,3,3
WASL,86,137,29,187,53,89,49,86
WBP1,16,17,12,44,20,20,18,22
WBP11,689,1074,461,1880,724,500,344,636
WBP1L,567,1163,209,1214,552,437,323,699
WBP2,430,737,158,937,359,343,364,497
WBP2NL,7,29,10,28,11,15,12,17
WBP4,127,323,76,411,151,144,100,169
WBP5,21,24,7,63,20,26,6,19
WBSCR16,78,197,50,225,160,88,58,104
WBSCR17,3,6,0,4,6,3,2,6
WBSCR22,443,841,315,1351,755,373,260,382
WBSCR27,2,1,1,5,4,1,1,2
WDFY1,842,1048,274,1240,618,470,360,755
WDFY2,201,392,90,321,155,169,144,238
WDFY3,519,836,118,459,428,280,364,769
WDFY3-AS2,4,19,1,11,8,8,3,19
WDFY4,561,1004,342,686,628,320,232,713
WDHD1,39,113,28,354,186,78,45,17
WDPCP,61,67,22,127,43,40,25,60
WDR1,1504,2972,798,3721,1879,1638,1143,2070
WDR11,356,868,253,767,538,290,259,899
WDR11-AS1,10,3,1,8,8,5,1,14
WDR12,121,324,95,495,304,162,106,127
WDR13,343,543,117,518,260,171,134,400
WDR16,4,5,1,4,0,0,0,5
WDR17,8,20,1,32,16,5,3,30
WDR18,101,237,55,413,187,104,51,113
WDR19,45,129,69,164,84,56,33,57
WDR20,107,285,63,381,138,131,66,104
WDR24,56,112,18,149,88,40,25,42
WDR25,32,77,13,75,51,24,33,36
WDR26,1501,2241,657,2417,968,856,1081,1154
WDR27,51,95,56,171,98,49,27,44
WDR3,158,480,87,699,382,236,165,134
WDR31,9,12,4,17,13,11,8,7
WDR33,377,904,255,1222,665,490,294,284
WDR34,29,96,29,212,117,20,21,25
WDR35,37,89,30,105,50,44,21,19
WDR36,202,499,132,640,379,235,165,134
WDR37,268,551,151,662,281,287,188,276
WDR4,24,110,38,229,135,82,33,44
WDR41,143,307,74,516,364,209,131,280
WDR43,438,832,297,1653,684,568,317,350
WDR44,161,390,52,585,235,173,92,163
WDR45,224,470,125,506,229,167,211,296
WDR45B,374,583,159,552,263,215,176,423
WDR46,123,296,87,476,234,174,93,140
WDR47,110,253,40,295,152,145,72,114
WDR48,411,677,199,1106,459,320,189,238
WDR49,7,9,4,9,5,8,1,36
WDR5,111,261,78,342,213,143,73,130
WDR52,67,119,82,316,73,72,34,43
WDR53,70,166,35,206,99,89,41,48
WDR54,66,109,49,307,97,70,44,44
WDR55,254,489,144,573,334,205,148,221
WDR59,251,470,197,717,269,228,161,223
WDR5B,28,87,31,108,45,43,16,19
WDR6,113,266,92,434,281,173,96,116
WDR60,196,289,114,519,142,210,117,157
WDR61,177,335,78,413,262,152,116,195
WDR62,21,50,21,76,76,23,19,17
WDR63,12,19,6,9,5,1,3,2
WDR64,6,6,5,6,7,2,6,5
WDR65,7,8,1,7,5,1,7,20
WDR66,47,83,38,84,52,44,27,63
WDR7,241,523,86,573,384,282,133,182
WDR70,279,476,134,646,254,250,170,341
WDR72,1,5,2,7,0,2,2,0
WDR73,144,218,116,336,123,127,65,101
WDR74,101,118,52,205,111,81,53,80
WDR75,145,374,88,535,267,164,133,117
WDR76,66,189,72,410,237,111,53,34
WDR77,70,172,39,250,122,93,69,101
WDR78,4,13,5,35,10,3,3,7
WDR81,118,220,45,251,205,126,73,142
WDR82,1264,2722,699,4253,1621,1460,929,1064
WDR83,42,95,29,116,60,33,26,44
WDR83OS,449,844,236,1211,421,365,281,525
WDR86,6,14,6,16,3,6,3,8
WDR86-AS1,12,16,2,66,5,6,8,9
WDR87,12,7,6,19,19,6,3,22
WDR88,2,5,0,3,2,1,0,0
WDR89,43,167,42,293,75,95,38,53
WDR90,34,42,21,84,28,20,21,40
WDR91,91,149,53,187,98,94,70,88
WDR92,23,48,16,88,21,13,18,30
WDR93,9,11,2,9,2,5,0,17
WDR96,5,9,5,7,6,0,1,7
WDSUB1,56,128,29,147,75,85,32,66
WDTC1,396,672,181,685,353,273,201,300
WDYHV1,25,45,19,91,38,38,17,44
WEE1,85,226,69,340,231,114,55,34
WEE2,4,3,4,2,1,0,5,2
WEE2-AS1,7,11,6,4,4,4,7,10
WFDC1,4,2,3,6,3,5,7,9
WFDC10A,2,0,0,1,1,0,4,2
WFDC12,3,0,3,2,0,0,3,5
WFDC2,0,0,0,5,1,1,1,2
WFDC3,2,3,2,8,2,4,1,7
WFDC8,1,1,0,1,0,1,1,1
WFIKKN1,3,3,0,12,8,1,1,4
WFIKKN2,2,3,1,0,1,0,0,4
WFS1,11,67,25,85,67,23,12,11
WHAMM,592,575,380,1115,300,348,250,413
WHSC1,463,1040,329,1947,1155,592,403,321
WHSC1L1,1332,2501,1011,4659,1377,1074,801,1044
WI2-1959D15.1,1,2,1,0,4,0,1,3
WI2-81516E3.1,0,1,1,0,1,0,2,0
WI2-85898F10.1,2,1,0,4,2,0,3,2
WI2-87327B8.1,0,2,0,3,2,1,0,0
WI2-89031B12.1,0,0,0,6,0,0,0,1
WIBG,165,447,76,530,267,202,144,188
WIF1,1,7,0,4,2,0,1,5
WIPF1,1933,3961,974,5368,2148,2152,1030,1545
WIPF2,503,910,269,1296,513,435,310,445
WIPF3,24,18,9,29,6,9,10,29
WIPI1,103,259,68,236,203,98,38,85
WIPI2,561,1092,283,1278,613,405,449,684
WISP1,1,0,0,1,4,2,0,1
WISP2,11,8,0,20,6,1,4,18
WISP3,2,1,0,12,3,2,3,2
WIZ,92,204,60,215,128,107,64,80
WLS,105,218,20,126,41,14,8,193
WNK1,2213,4642,1145,6555,2220,2113,2674,2008
WNK2,13,11,1,6,7,2,5,13
WNK3,7,11,4,20,9,4,2,11
WNK4,2,10,3,8,5,1,3,5
WNT1,1,1,0,3,1,2,1,1
WNT10A,13,53,18,52,35,0,2,6
WNT10B,16,32,6,52,24,29,9,14
WNT11,8,8,0,3,11,6,4,5
WNT16,5,14,14,35,8,5,2,6
WNT2,4,1,1,3,1,1,1,2
WNT2B,23,28,8,34,18,16,23,21
WNT3,12,8,11,25,3,10,3,17
WNT4,3,15,6,22,9,4,5,2
WNT5A,1,8,2,8,6,3,0,8
WNT5B,12,64,8,67,77,6,7,8
WNT6,3,3,0,2,3,4,0,1
WNT7A,4,19,9,39,1,12,5,6
WNT7B,3,5,0,1,0,0,2,1
WNT8A,0,3,0,2,1,1,1,5
WNT8B,2,3,2,5,2,3,2,0
WNT9A,0,0,2,5,0,0,0,5
WNT9B,5,4,0,6,3,0,3,2
WRAP53,39,94,45,213,66,54,39,57
WRAP73,133,339,71,385,185,136,87,148
WRB,27,102,19,123,101,52,23,41
WRN,83,178,74,308,119,104,67,61
WRNIP1,245,570,138,755,387,289,164,287
WSB1,1057,2975,393,1978,1272,1207,1343,1395
WSB2,249,478,86,474,240,159,131,316
WSCD1,6,2,2,7,4,4,6,10
WSCD2,1,3,1,4,4,1,0,7
WT1,2,1,0,4,2,2,1,7
WT1-AS,177,982,337,741,399,202,90,47
WTAP,733,1307,423,1651,752,650,471,894
WTIP,11,10,2,15,5,2,9,18
WWC1,7,20,11,35,17,7,19,12
WWC2,64,105,30,194,69,86,31,152
WWC2-AS2,6,2,1,6,0,1,2,11
WWC3,304,659,290,1126,254,265,218,485
WWC3-AS1,1,0,0,2,1,1,1,4
WWOX,66,118,39,184,98,57,35,86
WWP1,466,844,398,1917,484,539,248,465
WWP2,357,725,149,720,403,318,237,481
WWTR1,46,131,22,179,57,66,47,77
WWTR1-AS1,9,4,2,6,4,2,2,5
WWTR1-IT1,0,0,1,6,1,1,0,5
XAB2,91,159,45,154,152,110,38,65
XAF1,7942,5852,830,4788,4585,8742,3266,2039
XAGE1B,1,6,0,2,1,1,0,3
XAGE1E,4,2,1,0,0,1,2,4
XBP1,1468,7903,1497,7025,8463,3350,993,1126
XCL1,27,52,27,75,27,82,11,2
XCL2,37,93,22,128,27,80,16,4
XCR1,12,17,2,12,22,39,7,15
XDH,5,3,0,6,0,2,5,0
XG,2,1,1,6,0,1,4,3
XIAP,462,1097,304,1844,597,620,388,616
XIRP1,2,5,2,4,6,1,0,1
XIRP2,6,10,3,16,11,20,4,16
XIST,5,4,2,8,5,3,3,4
XK,26,27,22,80,31,36,274,15
XKR4,16,22,5,15,9,5,11,19
XKR5,2,3,1,4,2,5,3,6
XKR6,28,49,17,102,18,27,16,25
XKR7,6,1,2,7,4,0,5,7
XKR8,98,179,58,262,93,78,51,408
XKR9,0,3,0,11,1,3,3,11
XKRX,5,1,3,2,0,5,6,3
XPA,273,419,137,609,189,231,153,235
XPC,305,767,223,1163,498,551,233,229
XPNPEP1,331,479,135,612,333,317,134,270
XPNPEP2,5,10,4,18,7,6,2,9
XPNPEP3,90,174,67,360,141,97,76,100
XPO1,1121,2108,629,3734,1918,1822,607,838
XPO4,202,387,148,476,344,240,105,134
XPO5,175,432,121,438,429,223,140,121
XPO6,731,1231,394,1785,881,727,558,897
XPO7,495,1012,219,1337,635,411,436,450
XPOT,373,1024,271,1414,678,510,230,307
XPR1,199,372,93,486,229,133,90,172
XRCC1,172,401,85,422,226,125,103,163
XRCC2,18,61,10,159,84,25,14,18
XRCC3,24,41,29,81,67,35,19,12
XRCC4,111,261,40,246,135,112,101,120
XRCC5,2160,4864,1355,7329,3692,2414,1512,2553
XRCC6,1326,2830,758,4171,2298,1614,971,1512
XRCC6BP1,25,56,16,106,70,46,31,33
XRN1,1348,2010,644,3152,1557,1414,886,1123
XRN2,1607,2822,752,3567,1595,1295,1048,2063
XRRA1,86,166,84,312,164,52,54,27
XX-C2158C12.1,1,0,0,1,1,2,3,2
XX-C2158C12.2,3,0,1,1,0,0,1,2
XX-CR54.3,2,1,0,1,0,1,0,1
XXYLT1,136,224,44,204,87,63,85,144
XXYLT1-AS2,2,4,0,8,4,3,1,4
XXbac-B135H6.15,39,53,8,39,19,20,14,55
XXbac-B33L19.3,1,0,0,0,1,0,3,2
XXbac-B33L19.4,0,1,0,1,2,0,3,2
XXbac-B444P24.13,2,0,1,4,3,0,1,1
XXbac-B444P24.14,3,2,1,1,1,3,0,0
XXbac-B444P24.8,7,2,1,1,2,0,1,2
XXbac-B461K10.4,0,0,0,2,0,0,1,2
XXbac-B476C20.13,4,8,2,9,2,1,7,14
XXbac-B476C20.17,0,0,1,2,0,1,1,0
XXbac-B476C20.9,8,11,10,13,7,7,7,4
XXbac-BPG154L12.4,5,6,8,7,4,3,3,5
XXbac-BPG157A10.21,3,3,1,10,2,1,0,7
XXbac-BPG170G13.32,4,3,0,1,1,1,0,4
XXbac-BPG181B23.7,19,66,2,15,12,12,18,24
XXbac-BPG249D20.9,0,2,1,6,2,0,0,0
XXbac-BPG252P9.9,3,5,0,4,3,7,2,2
XXbac-BPG27H4.8,4,0,1,0,0,0,2,2
XXbac-BPG299F13.14,2,5,3,12,0,0,0,0
XXbac-BPG299F13.17,63,119,63,306,31,38,24,37
XXbac-BPG308K3.5,3,1,0,2,2,1,2,1
XXbac-BPG308K3.6,5,13,1,21,3,6,6,7
XXbac-BPGBPG55C20.1,4,1,3,4,1,2,0,2
XXbac-BPGBPG55C20.2,16,40,27,105,25,25,25,24
XXbac-BPGBPG55C20.3,0,4,1,2,0,1,0,1
XXcos-LUCA11.4,6,9,10,18,4,7,3,1
XXyac-YX155B6.5,1,1,0,0,2,0,1,3
XXyac-YX65C7-A.2,3,6,2,7,3,2,4,0
XYLB,11,21,9,36,18,6,11,13
XYLT1,230,356,130,400,178,128,107,262
XYLT2,103,188,57,248,115,70,56,87
YAE1D1,9,65,12,77,26,31,11,9
YAF2,227,408,136,674,146,187,113,196
YAP1,9,8,3,7,3,8,4,11
YARS,816,1605,539,2676,1481,1052,558,645
YARS2,65,156,49,215,142,65,34,36
YBEY,23,43,18,52,57,18,22,38
YBX1,3138,6773,1795,11132,4487,3082,2737,4883
YBX2,6,3,0,7,4,3,2,2
YBX3,791,1432,477,2362,705,482,1773,1747
YDJC,90,212,55,402,174,101,71,94
YEATS2,425,628,152,663,455,395,172,211
YEATS2-AS1,13,7,5,7,6,4,2,2
YEATS4,102,214,78,515,177,121,104,37
YES1,75,89,28,166,46,68,22,38
YIF1A,190,492,98,582,418,149,127,240
YIF1B,113,215,50,294,169,81,62,107
YIPF1,184,320,91,397,181,129,121,204
YIPF2,113,195,41,233,143,94,46,103
YIPF3,283,537,127,637,385,204,162,255
YIPF4,213,606,123,834,272,296,168,241
YIPF5,284,782,139,864,464,286,163,266
YIPF6,139,398,55,447,235,161,182,164
YIPF7,0,2,0,1,0,0,0,2
YJEFN3,10,23,18,44,12,13,4,11
YKT6,368,689,208,811,499,342,240,396
YLPM1,662,1118,387,1692,710,603,366,570
YME1L1,1681,3153,830,4092,1869,1431,965,1458
YOD1,219,320,123,469,164,105,402,196
YPEL1,106,134,52,161,36,67,37,28
YPEL2,458,509,167,654,204,156,218,611
YPEL3,448,907,252,1273,281,203,451,458
YPEL4,9,8,2,20,5,7,14,10
YPEL5,1342,1731,588,2289,582,652,502,1700
YRDC,167,204,107,345,129,128,74,180
YTHDC1,979,1565,629,2771,875,920,561,823
YTHDC2,352,664,287,1183,351,288,293,375
YTHDF1,336,631,159,722,431,356,183,387
YTHDF2,625,1229,301,1703,877,650,388,606
YTHDF3,516,1040,215,1037,663,415,282,593
YTHDF3-AS1,9,16,9,23,20,3,3,13
YWHAB,6876,11964,2950,16150,6179,4987,3973,7747
YWHAE,1171,2847,657,3714,2216,1375,830,1440
YWHAG,509,1958,191,1988,1448,1124,640,861
YWHAH,737,1387,286,1935,972,720,418,676
YWHAQ,926,1745,427,2969,1559,915,405,764
YWHAZ,3924,7147,2034,11145,4586,3578,2271,4210
YY1,1530,2835,878,4715,1380,1256,813,1620
YY1AP1,395,788,250,913,506,404,323,391
YY2,13,7,5,11,6,11,4,4
Y-RNA,318,339,198,538,156,156,140,364
Z69666.2,6,5,1,4,1,2,1,6
Z83001.1,3,3,0,4,2,1,7,4
Z83844.1,2,0,0,4,3,3,1,1
Z83851.1,1,0,0,6,1,2,0,1
Z83851.3,2,1,0,1,2,0,1,0
Z83851.4,0,1,0,4,3,2,0,0
Z95152.1,2,3,1,3,3,1,2,0
Z98049.1,2,4,1,6,1,0,5,7
Z99756.1,3,3,0,2,3,1,1,5
ZACN,1,4,0,12,3,1,1,0
ZADH2,298,487,203,945,351,347,195,305
ZAP70,602,942,499,1796,653,897,340,228
ZAR1,1,0,0,0,1,1,0,2
ZAR1L,0,1,0,2,0,0,2,2
ZBBX,2,1,0,0,2,0,3,4
ZBED1,439,790,141,930,351,281,220,617
ZBED2,6,6,8,22,6,4,0,5
ZBED3,19,36,12,47,28,25,20,50
ZBED3-AS1,7,11,1,15,6,8,3,6
ZBED4,359,667,175,843,429,281,191,277
ZBED5,321,760,262,1148,302,376,188,334
ZBED5-AS1,28,92,30,96,64,37,28,70
ZBED6,178,335,109,569,185,160,132,156
ZBED6CL,51,80,40,186,44,34,34,62
ZBP1,535,635,209,588,554,435,216,122
ZBTB1,911,1154,521,2178,588,550,259,677
ZBTB10,423,261,366,928,159,188,95,350
ZBTB11,317,736,231,1096,397,305,217,268
ZBTB11-AS1,26,32,17,76,31,24,11,19
ZBTB12,2,3,0,8,2,2,2,0
ZBTB14,196,386,130,425,177,148,102,152
ZBTB16,128,120,47,134,34,53,39,39
ZBTB17,129,268,58,325,189,108,66,143
ZBTB18,251,543,140,690,233,165,160,398
ZBTB2,245,505,131,690,287,241,94,184
ZBTB20,135,144,98,292,66,91,70,91
ZBTB20-AS1,4,2,0,8,3,2,1,4
ZBTB20-AS3,2,0,2,2,1,0,0,1
ZBTB20-AS4,0,3,0,5,0,2,1,6
ZBTB21,237,359,160,592,237,177,85,295
ZBTB22,53,98,35,89,45,31,26,59
ZBTB24,309,439,194,585,248,175,124,214
ZBTB25,147,304,149,606,168,172,70,89
ZBTB26,32,70,17,89,54,57,14,30
ZBTB3,20,46,15,56,25,18,14,14
ZBTB32,42,91,19,145,209,80,16,10
ZBTB33,329,660,203,746,317,321,109,231
ZBTB34,158,276,51,208,200,120,84,158
ZBTB37,291,588,317,750,245,257,155,181
ZBTB38,837,2413,610,3351,1439,1096,370,456
ZBTB39,119,140,54,202,85,82,46,64
ZBTB4,353,669,257,1194,298,379,168,284
ZBTB40,379,853,278,913,405,451,257,296
ZBTB41,116,244,76,352,145,116,59,86
ZBTB42,22,28,10,37,15,23,10,13
ZBTB43,487,494,254,803,210,244,220,391
ZBTB44,761,1340,445,2118,563,570,330,504
ZBTB45,24,51,7,65,32,22,13,23
ZBTB46,50,60,58,183,34,41,19,47
ZBTB47,62,137,16,71,40,43,38,85
ZBTB48,91,169,39,203,112,87,48,90
ZBTB49,61,111,26,105,65,56,31,38
ZBTB5,64,147,40,170,77,58,33,58
ZBTB6,36,148,14,121,58,61,27,28
ZBTB7A,456,968,214,1119,378,301,276,586
ZBTB7B,231,471,56,325,277,177,152,261
ZBTB7C,9,9,0,23,6,2,8,11
ZBTB8A,11,15,7,28,11,6,2,25
ZBTB8B,16,17,6,23,11,6,7,10
ZBTB8OS,312,577,205,733,398,289,144,261
ZBTB9,15,53,9,68,37,19,13,8
ZC2HC1A,40,110,22,117,52,38,31,81
ZC2HC1B,1,7,4,8,4,2,0,0
ZC2HC1C,2,15,3,14,9,7,3,2
ZC3H10,16,54,7,41,33,24,13,14
ZC3H11A,1462,3042,917,5077,1686,1342,878,1175
ZC3H12A,196,182,83,250,103,76,42,147
ZC3H12B,17,25,21,62,14,12,14,11
ZC3H12C,26,34,10,29,21,16,18,56
ZC3H12D,78,106,74,217,70,105,63,48
ZC3H13,915,1973,486,3058,1228,918,666,804
ZC3H14,197,524,142,855,336,250,112,181
