,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
PCDHB14,3,2,1,3,4,0,0,2
PCDHB15,1,0,1,2,3,0,1,2
PCDHB16,8,1,0,5,3,1,4,6
PCDHB17,2,1,1,1,0,2,0,3
PCDHB2,3,3,1,1,5,1,3,4
PCDHB3,2,1,2,3,0,0,0,1
PCDHB4,1,3,2,1,2,1,3,3
PCDHB5,3,3,3,4,1,1,3,2
PCDHB6,2,1,1,3,2,0,0,0
PCDHB7,1,3,0,1,0,1,0,4
PCDHB8,3,1,1,3,1,0,0,0
PCDHGA10,8,13,2,8,2,7,5,2
