id,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
RPL14,-1.701258267,1.701258267,0.089025094,0.089025094,-0.673391412,0.673391412,1.986277419,2.016551126,-0.030273707,0.030273707
RPL15,-2.043579464,2.043579464,0.041098456,0.041098456,-0.869039453,0.869039453,1.673718159,1.705606584,-0.031888425,0.031888425
RPL17,1.282836187,-1.282836187,0.199671301,0.199671301,0.42139795,-0.42139795,0.360782753,0.343559743,0.01722301,-0.01722301
RPL18,-2.390765398,2.390765398,0.016887531,0.016887531,-1.061373474,1.061373474,2.124223347,2.158483679,-0.034260332,0.034260332
RPL18A,-6.446052592,6.446052592,1.38E-10,1.38E-10,-3.156010791,3.156010791,2.448219467,2.543677433,-0.095457967,0.095457967
RPL19,-1.324063876,1.324063876,0.18560696,0.18560696,-0.447100909,0.447100909,2.566299454,2.584421783,-0.018122329,0.018122329
RPL21,-1.09619242,1.09619242,0.273099036,0.273099036,-0.301733492,0.301733492,1.733984914,1.751958191,-0.017973277,0.017973277
RPL22,-3.073039095,3.073039095,0.002141237,0.002141237,-1.42828429,1.42828429,1.591185094,1.637973692,-0.046788598,0.046788598
RPL22L1,-0.043220819,0.043220819,0.965529111,0.965529111,-0.909400555,0.909400555,0.30395471,0.304503562,-0.000548853,0.000548853
RPL23,2.305172082,-2.305172082,0.021240193,0.021240193,1.014391562,-1.014391562,0.733132557,0.69432824,0.038804317,-0.038804317
RPL23A,1.296603674,-1.296603674,0.19488491,0.19488491,0.430017437,-0.430017437,1.486279726,1.464706134,0.021573593,-0.021573593
RPL24,-2.275712492,2.275712492,0.022951532,0.022951532,-0.998141794,0.998141794,1.654351906,1.689520932,-0.035169026,0.035169026
RPL26,-0.592090375,0.592090375,0.553844956,0.553844956,-0.067690853,0.067690853,1.225803783,1.235629676,-0.009825893,0.009825893
RPL26L1,2.672164405,-2.672164405,0.007581025,0.007581025,1.21424252,-1.21424252,0.066189765,0.051083597,0.015106168,-0.015106168
RPL27,2.601780887,-2.601780887,0.009331704,0.009331704,1.176093312,-1.176093312,1.299720361,1.257591272,0.042129089,-0.042129089
RPL27A,3.523088904,-3.523088904,0.000434546,0.000434546,1.664898572,-1.664898572,0.928163775,0.866063589,0.062100186,-0.062100186
RPL28,2.698188831,-2.698188831,0.007020982,0.007020982,1.22809405,-1.22809405,3.024380763,2.992417539,0.031963224,-0.031963224
RPL29,-2.532647124,2.532647124,0.011384059,0.011384059,-1.138651668,1.138651668,2.191994912,2.229284939,-0.037290026,0.037290026
RPL3,-2.719577846,2.719577846,0.00657411,0.00657411,-1.239864605,1.239864605,1.794880183,1.844444009,-0.049563827,0.049563827
RPL30,-4.00856705,4.00856705,6.30E-05,6.30E-05,-1.917020312,1.917020312,2.711469442,2.775196029,-0.063726587,0.063726587
