id,degree_.NonSevere,degree_.Severe,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
CAMK4.TF,13,52,15.13191265,-15.13191265,8.73E-51,8.73E-51,7.471213208,-7.471213208,0.216755678,0.076082956,0.140672722,-0.140672722
CAMKK1.TF,31,54,-26.23419847,26.23419847,2.15E-134,2.15E-134,-12.32187512,12.32187512,-0.2439081,-0.18855866,-0.05534944,0.05534944
CAMKK2.TF,2,37,370.6378517,-370.6378517,0.00E+00,0.00E+00,18.75968967,-18.75968967,2.111474769,-0.187810063,2.299284833,-2.299284833
CAMKMT.TF,22,55,-35.56513053,35.56513053,4.90E-223,4.90E-223,-15.92963755,15.92963755,-0.25277537,-0.168961621,-0.083813748,0.083813748
CAMLG.TF,8,12,26.06090065,-26.06090065,3.27E-136,3.27E-136,12.40632652,-12.40632652,1.1758404,0.740411829,0.43542857,-0.43542857
CAMP.TF,33,52,-28.61583789,28.61583789,2.54E-156,2.54E-156,-13.30542154,13.30542154,-0.225952819,-0.157583419,-0.0683694,0.0683694
CAMSAP1.TF,34,51,-26.87466215,26.87466215,1.45E-139,1.45E-139,-12.56076833,12.56076833,-0.242643327,-0.182368658,-0.060274669,0.060274669
CAMSAP2.TF,34,56,-29.3520913,29.3520913,3.27E-161,3.27E-161,-13.51505904,13.51505904,-0.260876761,-0.20573055,-0.055146211,0.055146211
CAMTA1-DT.TF,25,49,-18.9308141,18.9308141,1.96E-75,1.96E-75,-9.17037572,9.17037572,-0.230189567,-0.1854727,-0.044716867,0.044716867
CAMTA1.TF,5,6,6.966979056,-6.966979056,4.00E-12,4.00E-12,3.419207217,-3.419207217,1.250859315,1.090044161,0.160815155,-0.160815155
CAMTA2.TF,7,53,-29.87126865,29.87126865,4.89E-176,4.89E-176,-14.13164024,14.13164024,-0.262998994,-0.195928312,-0.067070682,0.067070682
CAND1.TF,NA,41,NA,NA,NA,NA,NA,NA,NA,-0.120425726,NA,NA
CAND2.TF,38,NA,NA,NA,NA,NA,NA,NA,-0.254596659,NA,NA,NA
CANT1.TF,NA,68,NA,NA,NA,NA,NA,NA,NA,-0.187859597,NA,NA
CANX.TF,10,26,28.74164797,-28.74164797,2.33E-164,2.33E-164,13.64825925,-13.64825925,1.351895532,0.966658946,0.385236585,-0.385236585
CAP1.TF,37,92,-11.11335771,11.11335771,3.31E-28,3.31E-28,-5.475183937,5.475183937,1.659871632,1.772059697,-0.112188065,0.112188065
CAPG.TF,7,22,16.86241337,-16.86241337,2.01E-61,2.01E-61,8.247251976,-8.247251976,1.952552949,1.659425586,0.293127363,-0.293127363
CAPN1.TF,3,8,45.97942678,-45.97942678,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.085949933,0.218508648,0.867441285,-0.867441285
CAPN10-DT.TF,35,56,-26.22696302,26.22696302,4.18E-134,4.18E-134,-12.30835683,12.30835683,-0.244855048,-0.189484581,-0.055370467,0.055370467
