,covid-555-1_NonSevere,covid-555-2_Severe,covid-556_NonSevere,covid-557_Severe,covid-558_Severe,covid-559_NonSevere,covid-560_Severe,covid-561_NonSevere
ENAH,31.741239877,42.9563567449999,15.9164420440001,61.0294117919999,28.408918384,26.5795148259999,13.028462983,27.673854461
ENO1,837.99999993,707.22972969,279.90721639,890.297297280001,424.07207198,457.35051555,1063.26126128,1059.17525779
EPHB4,32.468899362,45.03395406,17.755980781,62.370208165,29.784227878,25.617224745,11.73822566,34.854066822
ERP44,89.155388528,101.216599138,38.032581492,138.569838006,87.5334007940001,74.4436090399999,30.264170014,79.2456140970001
F3,37.1944444451,44.667320902,19.8495370374,62.5201177618,30.1305201175,28.7824074074,12.9332679098,35.8842592589
FBP1,750.964913100001,1659.22641489,158.456140990001,1055.0943393,679.830188600002,290.912281610001,420.622641179999,1025.92982496
FCAR,33.349030493,36.183650622,17.584487537,50.2497200709999,24.720044787,27.584487533,9.88017916499999,33.249307499
FCER2,30.951782005,41.9159836090001,16.987421375,57.6209016410001,27.5235655679999,24.815513623,10.886270475,30.664570246
FCGR2B,35.4497991977998,45.4946025527,19.1967871489999,62.9990186464001,31.2070657484,28.1907630531999,14.0893032378,34.4016064257998
FCRL3,229.69767448,328.146282975,77.267441944,325.196642692,159.333333345,118.189922554,79.8201438780001,260.120155011
FEN1,31.022026417,103.706302005,16.744493383,171.407847794,95.651605233,28.319383249,27.247324606,30.0176211560001
FES,1650.71875,4045.73684233,342.28125,2568.05263268,1641.15789508001,594.21875,1031.6842108,2213.96875
FLT1,32.441117939,41.623516735,19.518962149,57.822006487,28.760517801,26.381237639,11.429341984,33.005988222
FLT3LG,55.10772355,36.5835010069999,24.282520322,49.5201207189999,24.152917492,38.4166666520001,9.747484909,47.420731708
FST,31.470449174,42.632368698,16.910165485,59.8681672129997,28.923901399,26.602836871,12.173633445,29.446808526
FSTL3,37.3717728041,36.5517928317999,21.4836488821,51.5836653422998,24.7500000029,31.4010327008,10.439243028,38.043029259
FUS,292.22602732,373.45641442,121.43150687,603.18914455,232.88651302,170.89383557,255.12993427,313.71232868
FYB1,486.41304348,549.37037035,158.68478257,795.65046289,352.51388894,236.38043478,579.68287043,590.130434780001
GLB1,908.704918110003,1420.3606561,193.29508216,915.180328330006,600.508196900002,333.426229650001,359.918033030001,1265.77049203
GOPC,44.4366197329999,95.693548383,24.587525147,157.370967766,63.058823523,37.221327959,46.3206831059999,41.9175050499999
GPC1,29.2837465546,42.8897922265998,15.8319559216,61.5347786747997,28.4001806647998,24.4352617068999,11.6883468826999,28.1597796122
GRAP2,91.514211885,188.927692325,43.483204131,256.412307682,98.189230766,73.0025839759998,47.758461536,98.036175718
HCLS1,520.5853658,856.5022222,179.97560984,1118.57777783,507.11999991,257.31707323,1052.14666671,565.902438949999
HEBP1,47.026548754,44.9370199849999,17.044247848,54.0460829650001,30.130568339,26.622418951,13.947772657,56.348082658
HGF,32.331877715,36.8236057409999,17.569868971,51.2581063899999,24.6822308770001,27.039301296,9.81322957800002,30.334061121
HMOX1,951.153846040001,1890.17073178,185.32692317,1186.70731722,775.926829470003,315.09615425,488.048780460001,1315.86538465
HS6ST1,27.9669603506999,39.3923445207999,14.9933920705,53.3885167752999,25.3464115004,22.5066079286999,11.9033492885,27.8171806141999
HSPB1,29.3638297841,48.9691588798,15.8148936166,78.0934579456999,33.2327102809,23.5702127636,13.1700934571,28.3872340388
HYOU1,110.3402778,299.86493511,53.07638893,440.024675350001,239.59870113,96.92013876,277.54675326,92.3020833399999
ICAM2,26.4481236235,39.4736328125,17.6909492281,54.080078125,27.021484375,19.9448123638,12.63671875,29.3024282588
IGFBP2,38.7762556729998,40.6358811740001,21.1095890550001,56.509554233,27.660297287,30.0981734990002,12.524416165,38.7579908279998
